id,True,Pred
Jacob Rosant,Jacob Rosant,Albertus Buitendyck
Jan Pieter Heije,Jan Pieter Heije,Frans de Cort
Gijsbertus van Sandwijk,Gijsbertus van Sandwijk,"Jan Steven van Esveldt Holtrop, Willem Holtrop"
Dirck Pietersz Pers,Dirck Pietersz Pers,Albertus Buitendyck
Leenaert Clock,Leenaert Clock,C. J. Wits
Thomas Fonteyn,Thomas Fonteyn,Dirck Pietersz Pers
Jacob Westerbaen,Jacob Westerbaen,J.F. Willems
Johannes Stichter,Johannes Stichter,C. J. Wits
Joos Verschuere Reynvaan,Joos Verschuere Reynvaan,Jacob Westerbaen
Pieter Elsevier,Pieter Elsevier,Joannes van Sambeeck
Haerlem Soetendal,Haerlem Soetendal,Johan Fruytiers
Johannes d' Outrein,Johannes d' Outrein,Claes Stapel
Jan Pieter Heije,Jan Pieter Heije,Hieronymus van Alphen
Claes Stapel,Claes Stapel,Hendrik Uilenbroek
Jan Mommaert,Jan Mommaert,Cornelis Stribeé
Carolus Tuinman,Carolus Tuinman,Hieronymus van Alphen
Jan Jansz. Deutel,Jan Jansz. Deutel,Hendrik Rintjes
Henricus Costerius,Henricus Costerius,Matthijs de Castelein
Zacharias Heyns,Zacharias Heyns,Hans de Ries
Johannes d' Outrein,Johannes d' Outrein,Joos Verschuere Reynvaan
"Antoine Mahaut, Kornelis Elzevier","Antoine Mahaut, Kornelis Elzevier",Jacobus Revius
Frans de Cort,Frans de Cort,Jan Pieter Heije
Hendrik Jacobz. Soetenboom,Hendrik Jacobz. Soetenboom,Aegidius Haeffacker
J. Smeerbol,J. Smeerbol,Jan Zoet
Guilielmus Bolognino,Guilielmus Bolognino,M. van de Speybroek
Joan Ysermans,Joan Ysermans,Dirck Pietersz Pers
"Jan Steven van Esveldt Holtrop, Willem Holtrop","Jan Steven van Esveldt Holtrop, Willem Holtrop",F. Pitton
"Alle Dercks, samensteller Alle Dercks","Alle Dercks, samensteller Alle Dercks",Hieronymus Sweerts
Jan Zoet,Jan Zoet,Jan van Hoogstraten
Karel van Mander,Karel van Mander,Aegidius Haeffacker
Jacob Cats,Jacob Cats,Jacobus Revius
Jan Pieter Heije,Jan Pieter Heije,Gerrit Manheer
Jan Pieter Heije,Jan Pieter Heije,Jan van Eijk
Joannes van Sambeeck,Joannes van Sambeeck,Willem de Swaen
Johan van Born,Johan van Born,Joannes van Sambeeck
Hermanus van den Burg,Hermanus van den Burg,Carolus Tuinman
Daniel Joncktys,Daniel Joncktys,Pieter Elsevier
Jan Pieter Heije,Jan Pieter Heije,Carolus Tuinman
Joannes van Dyck,Joannes van Dyck,Willem de Swaen
"Willem Dirckszoon Hooft, Jan Jansz. Starter, Jacob Westerbaen","Willem Dirckszoon Hooft, Jan Jansz. Starter, Jacob Westerbaen",Leonardus Gouwerak
anoniem,anoniem,Matthijs van der Merwede
Jan Jansz. Deutel,Jan Jansz. Deutel,Franciscus de Laat
"Alle Dercks, samensteller Alle Dercks","Alle Dercks, samensteller Alle Dercks",C. Rhijnenburgh
Johannes Stichter,Johannes Stichter,Claes Stapel
Cornelis de Leeuw,Cornelis de Leeuw,Hendrik Rintjes
Lambert de Visscher,Lambert de Visscher,Willem de Swaen
Gaudentius van Loemel,Gaudentius van Loemel,Lambert de Visscher
Dirk Rafaelsz. Camphuysen,Dirk Rafaelsz. Camphuysen,Claes Stapel
Willem de Swaen,Willem de Swaen,Joost van den Vondel
Jan van der Veen,Jan van der Veen,Jacob Rosant
Nicolaes Janssens,Nicolaes Janssens,Philips van Marnix
Willem Sluiter,Willem Sluiter,Joannes Stalpaert van der Wiele
Arnold Bon,Arnold Bon,Pieter Cauwe
David Joris,David Joris,Florimond van Duyse
Jacob Groenewegen,Jacob Groenewegen,Pieter de Vos
Jan Mommaert,Jan Mommaert,Gerrit Hendricksz. van Breughel
Mattheus Gargon,Mattheus Gargon,Dirk Rafaelsz. Camphuysen
J. Smeerbol,J. Smeerbol,Gerrit Manheer
Pieter Dubbels,Pieter Dubbels,Thomas Fonteyn
Joannes van Dyck,Joannes van Dyck,Johanna de Gavre
Daniel Bellemans,Daniel Bellemans,Jan Pieter Heije
Aegidius Haeffacker,Aegidius Haeffacker,Johan Deknatel
Jan Luyken,Jan Luyken,Carolus Tuinman
C.P. van Wesbusch,C.P. van Wesbusch,Jodocus van Lodenstein
Jan Jansz. Deutel,Jan Jansz. Deutel,Karel van Mander
Daniël Willink,Daniël Willink,Carolus Tuinman
Lambert de Visscher,Lambert de Visscher,Dirck Pietersz Pers
"Anthonis de Hubert, Antonis de Hubert","Anthonis de Hubert, Antonis de Hubert",Albertus Buitendyck
Leenaert Clock,Leenaert Clock,Karel van Mander
Joannes Stalpaert van der Wiele,Joannes Stalpaert van der Wiele,Johan van Born
Christianus de Placker,Christianus de Placker,Dirk Rafaelsz. Camphuysen
Hendrik Rintjes,Hendrik Rintjes,Daniel Bellemans
Christianus de Placker,Christianus de Placker,Jan Pieter Heije
Philippus van Sorgen,Philippus van Sorgen,"Jacob Janszoon Colevelt, A. Pietersz. Craen, Matthijs van Velden, Jan Robbertsz"
Aegidius Haeffacker,Aegidius Haeffacker,Guilielmus Bolognino
"Petrus Suetmans, Eustachius de Meyer","Petrus Suetmans, Eustachius de Meyer",Daniël Willink
anoniem,anoniem,Joost van den Vondel en Johan van Heemskerck (etc.)
Pieter Cauwe,Pieter Cauwe,Aegidius Haeffacker
"Karel van Mander, samensteller Karel van Mander","Karel van Mander, samensteller Karel van Mander",Karel van Mander
J.F. Willems,J.F. Willems,Florimond van Duyse
Gerrit Manheer,Gerrit Manheer,Gijsbertus van Sandwijk
Jacob Coenraetsz Mayvogel,Jacob Coenraetsz Mayvogel,Pieter de Vos
Florimond van Duyse,Florimond van Duyse,Pieter Datheen
Guillaume Abrahams Ooijevaer,Guillaume Abrahams Ooijevaer,Cornelis de Leeuw
Bernardus Busschoff,Bernardus Busschoff,M. van de Speybroek
Aegidius Haeffacker,Aegidius Haeffacker,Cornelis Maertsz.
Jan Pieter Heije,Jan Pieter Heije,Florimond van Duyse
Johan van Born,Johan van Born,Dirck Pietersz Pers
Leenaert Clock,Leenaert Clock,Hendrik Rintjes
Gijsbertus van Sandwijk,Gijsbertus van Sandwijk,Pieter de Vos
Cornelis de Bie,Cornelis de Bie,Marijn de Brauwer
"A.J. Dekker, Marie van Dijk","A.J. Dekker, Marie van Dijk","Antoine Mahaut, Kornelis Elzevier"
Joannes Mys,Joannes Mys,J. Sent
Jan Jansz. Deutel,Jan Jansz. Deutel,J. Sent
Joost van den Vondel en Johan van Heemskerck (etc.),Joost van den Vondel en Johan van Heemskerck (etc.),G.A. Bredero
"Jan Steven van Esveldt Holtrop, Willem Holtrop","Jan Steven van Esveldt Holtrop, Willem Holtrop",Thomas Fonteyn
D. Porcelijn,D. Porcelijn,Guilielmus Bolognino
Pieter Datheen,Pieter Datheen,Philips van Marnix
Philips van Marnix,Philips van Marnix,Franciscus Ridderus
Roelant de Kater,Roelant de Kater,Albertus Buitendyck
Philippus Jennyn,Philippus Jennyn,Karel van Mander
Jan van Eijk,Jan van Eijk,François Halma
Lucas de Heere,Lucas de Heere,Boudewijn Jansen Wellens
Jacobus de Ruyter,Jacobus de Ruyter,"Antoine Mahaut, Kornelis Elzevier"
J.F. Willems,J.F. Willems,Florimond van Duyse
Aernout van Overbeke,Aernout van Overbeke,Dirk Rafaelsz. Camphuysen
Joan Blasius,Joan Blasius,Guilelmus van der Borcht
Christianus de Placker,Christianus de Placker,Cornelis de Leeuw
Johan van Born,Johan van Born,Albertus Buitendyck
Adriaan Loosjes Pzn.,Adriaan Loosjes Pzn.,Gerrit Manheer
"Petrus Suetmans, Eustachius de Meyer","Petrus Suetmans, Eustachius de Meyer",Lucas van Mechelen
Claes Stapel,Claes Stapel,Joan Blasius
Hendrik Jacobz. Soetenboom,Hendrik Jacobz. Soetenboom,Christianus de Placker
Johannes d' Outrein,Johannes d' Outrein,Carolus Tuinman
Marijn de Brauwer,Marijn de Brauwer,Jacob Westerbaen
Arnold Bon,Arnold Bon,"Jacob Janszoon Colevelt, A. Pietersz. Craen, Matthijs van Velden, Jan Robbertsz"
Jan Zoet,Jan Zoet,Jacob Steendam
Jb. Kwast,Jb. Kwast,Jan van Eijk
Joannes Six van Chandelier,Joannes Six van Chandelier,François Halma
Dirck Pietersz Pers,Dirck Pietersz Pers,Hendrik Rintjes
Philippus van Sorgen,Philippus van Sorgen,Arnold Bon
Pieter Nootmans,Pieter Nootmans,Joan Blasius
Thomas Fonteyn,Thomas Fonteyn,Johan Deknatel
Adriaan Loosjes Pzn.,Adriaan Loosjes Pzn.,Betje Wolff en Aagje Deken
Frans de Cort,Frans de Cort,Jodocus van Lodenstein
Hieronymus Sweerts,Hieronymus Sweerts,Carolus Tuinman
"Petrus Suetmans, Eustachius de Meyer","Petrus Suetmans, Eustachius de Meyer",Karel van Mander
Dirck Pietersz Pers,Dirck Pietersz Pers,Cornelis Maertsz.
Johannes Wilhelmus Bussingh,Johannes Wilhelmus Bussingh,Gijsbertus van Sandwijk
Philips van Marnix,Philips van Marnix,Cornelis de Leeuw
François Foret,François Foret,"Antoine Mahaut, Kornelis Elzevier"
Joos Verschuere Reynvaan,Joos Verschuere Reynvaan,Carolus Tuinman
Mattheus Gargon,Mattheus Gargon,Carolus Tuinman
Jan Thieullier,Jan Thieullier,Karel van Mander
Christianus de Placker,Christianus de Placker,Albertus Buitendyck
Livinus van der Minnen,Livinus van der Minnen,Guilielmus Bolognino
C.P. van Wesbusch,C.P. van Wesbusch,Joannes Mys
Lucas de Heere,Lucas de Heere,Justus de Harduwijn
Joannes Vollenhove,Joannes Vollenhove,Hendrik Riemsnijder
Jacob Coenraetsz Mayvogel,Jacob Coenraetsz Mayvogel,M. van de Speybroek
Franciscus Ridderus,Franciscus Ridderus,M. van de Speybroek
Hendrik Rintjes,Hendrik Rintjes,Leenaert Clock
Aernout van Overbeke,Aernout van Overbeke,Pieter de Vos
Hermanus van den Burg,Hermanus van den Burg,Tjaert Sonnema
Jacob van Lennep,Jacob van Lennep,Hermanus van den Burg
Jan Jansz. Starter,Jan Jansz. Starter,Hendrik Jacobz. Soetenboom
Joannes Kannewet,Joannes Kannewet,Jan Pieter Heije
J.F. Willems,J.F. Willems,Florimond van Duyse
Guillaume Abrahams Ooijevaer,Guillaume Abrahams Ooijevaer,Dirk Rafaelsz. Camphuysen
Willem Sluiter,Willem Sluiter,Jan van Hoogstraten
David Joris,David Joris,Hans de Ries
Daniël Heinsius,Daniël Heinsius,Pieter de Vos
Cornelis Stribeé,Cornelis Stribeé,Karel van Mander
Pieter Sterlincx,Pieter Sterlincx,Cornelis de Leeuw
Arnold Bon,Arnold Bon,Claes Stapel
Gerrit Hendricksz. van Breughel,Gerrit Hendricksz. van Breughel,Karel van Mander
Jacob Rosant,Jacob Rosant,Lambert de Visscher
Johannes Stichter,Johannes Stichter,Simon Jansz Fortuyn
M.A. Brandts-Buys,M.A. Brandts-Buys,Jan Pieter Heije
Frans de Cort,Frans de Cort,Jacob Rosant
Dirck Pietersz Pers,Dirck Pietersz Pers,Jacob Coenraetsz Mayvogel
Cornelis Sweerts,Cornelis Sweerts,Willem Sluiter
Katharina Wilhelmina Bilderdijk-Schweickhardt,Katharina Wilhelmina Bilderdijk-Schweickhardt,Gerrit Manheer
Jan van der Veen,Jan van der Veen,Joannes Vollenhove
Hendrik Uilenbroek,Hendrik Uilenbroek,Claes Stapel
Jan Jansz. Deutel,Jan Jansz. Deutel,Hendrik Rintjes
Johan van Heemskerck,Johan van Heemskerck,Jan van der Veen
Joannes Six van Chandelier,Joannes Six van Chandelier,Carolus Tuinman
Aernout van Overbeke,Aernout van Overbeke,"Jacob Janszoon Colevelt, A. Pietersz. Craen, Matthijs van Velden, Jan Robbertsz"
Hendrik Jacobz. Soetenboom,Hendrik Jacobz. Soetenboom,Jacobus de Ruyter
Jan Jansz. Deutel,Jan Jansz. Deutel,Johanna de Gavre
J.W. Lustig,J.W. Lustig,Willem de Swaen
Hendrik Jacobz. Soetenboom,Hendrik Jacobz. Soetenboom,Dirck Pietersz Pers
Florimond van Duyse,Florimond van Duyse,Hieronymus van Alphen
Jan Jansz. Deutel,Jan Jansz. Deutel,Hendrik Rintjes
Pieter Datheen,Pieter Datheen,Leenaert Clock
Hans de Ries,Hans de Ries,Leenaert Clock
Philippus van Sorgen,Philippus van Sorgen,"Jacob Janszoon Colevelt, A. Pietersz. Craen, Matthijs van Velden, Jan Robbertsz"
Gijsbertus van Sandwijk,Gijsbertus van Sandwijk,"Jan Steven van Esveldt Holtrop, Willem Holtrop"
J.W. Lustig,J.W. Lustig,Franciscus Ridderus
Joannes de Lixbona,Joannes de Lixbona,Franciscus Ridderus
Jan Mommaert,Jan Mommaert,Joannes Cloeck
Hermanus van den Burg,Hermanus van den Burg,Frans de Cort
Pieter Elsevier,Pieter Elsevier,J. Tradel
Alle Dercks,Alle Dercks,"Anthonis de Hubert, Antonis de Hubert"
Philippus van Sorgen,Philippus van Sorgen,Jan Pieter Heije
Florimond van Duyse,Florimond van Duyse,Wolterus ter Burgh
J.F. Willems,J.F. Willems,Florimond van Duyse
Christianus Vermeulen,Christianus Vermeulen,Alle Dercks
Arnold Bon,Arnold Bon,Johan Deknatel
Pieter Datheen,Pieter Datheen,Herman Harts
Dirk Rafaelsz. Camphuysen,Dirk Rafaelsz. Camphuysen,Joannes Stalpaert van der Wiele
Lambert de Visscher,Lambert de Visscher,Joannes van Sambeeck
Christianus de Placker,Christianus de Placker,Willem Sluiter
Jodocus van Lodenstein,Jodocus van Lodenstein,Johanna de Gavre
C. J. Wits,C. J. Wits,Dirk Rafaelsz. Camphuysen
Hendrik Jacobz. Soetenboom,Hendrik Jacobz. Soetenboom,Jacob Coenraetsz Mayvogel
Isaak A. van Vaerlen en Jan Jansz. van Asten,Isaak A. van Vaerlen en Jan Jansz. van Asten,Cornelis Maertsz.
Hendrik Rintjes,Hendrik Rintjes,Leenaert Clock
Philippus van Sorgen,Philippus van Sorgen,M. van de Speybroek
Cornelis Sweerts,Cornelis Sweerts,Anthony Jansen
Johanna de Gavre,Johanna de Gavre,Joannes Mys
M. van de Speybroek,M. van de Speybroek,Gysbert Japicx
Zacharias Heyns,Zacharias Heyns,Christianus Vermeulen
Karel van Mander,Karel van Mander,Pieter Lenaerts van der Goes
Johanna de Gavre,Johanna de Gavre,Joannes Mys
Willem de Swaen,Willem de Swaen,Dirck Pietersz Pers
Pieter Nootmans,Pieter Nootmans,Johannes Wilhelmus Bussingh
Jan van Hoogstraten,Jan van Hoogstraten,Johan Fruytiers
François Halma,François Halma,Joannes Six van Chandelier
Jan Mommaert,Jan Mommaert,Dirck Pietersz Pers
"Joachim Oudaen, Dirk Rafaelsz. Camphuysen","Joachim Oudaen, Dirk Rafaelsz. Camphuysen",Jan Pieter Heije
Jan Jansz. Starter,Jan Jansz. Starter,Arnold Bon
Frans vander Straten de jongere,Frans vander Straten de jongere,Karel van Mander
F.A. Snellaert,F.A. Snellaert,Johannes Stichter
Jacob Groenewegen,Jacob Groenewegen,Claes Stapel
Joan Blasius,Joan Blasius,Gerrit Manheer
Jacob Groenewegen,Jacob Groenewegen,Claes Stapel
Joannes de Lixbona,Joannes de Lixbona,Jacobus de Ruyter
Katharina Wilhelmina Bilderdijk-Schweickhardt,Katharina Wilhelmina Bilderdijk-Schweickhardt,Johannes Wilhelmus Bussingh
Carolus Tuinman,Carolus Tuinman,Reynier Rooleeuw
A. de R. en J.G.,A. de R. en J.G.,Hieronymus van Alphen
Aernout van Overbeke,Aernout van Overbeke,Pieter de Vos
Livinus van der Minnen,Livinus van der Minnen,Frans de Cort
Jan Jansz. Deutel,Jan Jansz. Deutel,"Karel van Mander, samensteller Karel van Mander"
Karel van Mander,Karel van Mander,Marijn de Brauwer
"Antoine Mahaut, Kornelis Elzevier","Antoine Mahaut, Kornelis Elzevier",Roelant de Kater
Gerrit Hendricksz. van Breughel,Gerrit Hendricksz. van Breughel,Dirck Pietersz Pers
J.F. Willems,J.F. Willems,Jacob Claesz
Johannes Stichter,Johannes Stichter,Lambert de Visscher
Dirck Pietersz Pers,Dirck Pietersz Pers,Anthony Jansen
"Jacob Janszoon Colevelt, A. Pietersz. Craen, Matthijs van Velden, Jan Robbertsz","Jacob Janszoon Colevelt, A. Pietersz. Craen, Matthijs van Velden, Jan Robbertsz",G.A. Bredero
"B. Targier, Anthony Jansen","B. Targier, Anthony Jansen",Jakobus Rosseau
Philippus Jongheryx,Philippus Jongheryx,Joannes Mys
"Alle Dercks, samensteller Alle Dercks","Alle Dercks, samensteller Alle Dercks",Jan Pieter Heije
Philips van Marnix,Philips van Marnix,Aegidius Haeffacker
Lambert de Visscher,Lambert de Visscher,Jacob Coenraetsz Mayvogel
Lambert de Visscher,Lambert de Visscher,Jan Jansz. Deutel
C. J. Wits,C. J. Wits,G.A. Bredero
Joannes Six van Chandelier,Joannes Six van Chandelier,Andries Pels
J.W. Lustig,J.W. Lustig,Hermanus van den Burg
Cornelis Maertsz.,Cornelis Maertsz.,Hendrick Jansz. Prins
Florimond van Duyse,Florimond van Duyse,Govert van Mater
Carolus Tuinman,Carolus Tuinman,Willem Sluiter
Abdias Velingius,Abdias Velingius,A. de R. en J.G.
Abdias Velingius,Abdias Velingius,Carolus Tuinman
Zacharias Heyns,Zacharias Heyns,J. Tradel
Jacobus Viverius,Jacobus Viverius,Pieter Lenaerts van der Goes
Jan Mommaert,Jan Mommaert,"Jan Steven van Esveldt Holtrop, Willem Holtrop"
Isaak A. van Vaerlen en Jan Jansz. van Asten,Isaak A. van Vaerlen en Jan Jansz. van Asten,Dirck Pietersz Pers
Guillaume Abrahams Ooijevaer,Guillaume Abrahams Ooijevaer,Hendrik Rintjes
"Antoine Mahaut, Kornelis Elzevier","Antoine Mahaut, Kornelis Elzevier",Cornelis Stribeé
Christianus Vermeulen,Christianus Vermeulen,Jacob Claesz
Karel van Mander,Karel van Mander,Philippus Jennyn
Pieter Nootmans,Pieter Nootmans,Dirk Rafaelsz. Camphuysen
Pieter Dubbels,Pieter Dubbels,F.A. Snellaert
Peeter de Vleeschoudere,Peeter de Vleeschoudere,Barent Pietersz. Kompas
Willem Sluiter,Willem Sluiter,Florimond van Duyse
Isaak A. van Vaerlen en Jan Jansz. van Asten,Isaak A. van Vaerlen en Jan Jansz. van Asten,Thomas Fonteyn
Leonardus Gouwerak,Leonardus Gouwerak,J.F. Willems
Marijn de Brauwer,Marijn de Brauwer,Karel van Mander
Jacobus Revius,Jacobus Revius,"Antoine Mahaut, Kornelis Elzevier"
Willem de Swaen,Willem de Swaen,Johannes Stichter
Justus de Harduwijn,Justus de Harduwijn,Jacobus Revius
Govert van Mater,Govert van Mater,Jan Thieullier
Lambert de Visscher,Lambert de Visscher,Karel van Mander
Jan Thieullier,Jan Thieullier,J.F. Willems
Hieronymus van Alphen,Hieronymus van Alphen,Johan Deknatel
Arnold Bon,Arnold Bon,Johan Beets
Herman Harts,Herman Harts,"Petrus Suetmans, Eustachius de Meyer"
Cornelis Maertsz.,Cornelis Maertsz.,Guillaume Abrahams Ooijevaer
Florimond van Duyse,Florimond van Duyse,Jan Thieullier
Arnold Bon,Arnold Bon,Pieter Elsevier
J. Sent,J. Sent,Leenaert Clock
Franciscus Ridderus,Franciscus Ridderus,Joannes van Sambeeck
Herman Harts,Herman Harts,Livinus van der Minnen
Livinus van der Minnen,Livinus van der Minnen,Florimond van Duyse
Hendrik Riemsnijder,Hendrik Riemsnijder,Hieronymus van Alphen
Aegidius Haeffacker,Aegidius Haeffacker,Karel van Mander
Pieter de Vos,Pieter de Vos,Jacobus de Ruyter
Jacob Coenraetsz Mayvogel,Jacob Coenraetsz Mayvogel,C. J. Wits
Adriaan Loosjes Pzn.,Adriaan Loosjes Pzn.,Betje Wolff en Aagje Deken
"Willem Dirckszoon Hooft, Jan Jansz. Starter, Jacob Westerbaen","Willem Dirckszoon Hooft, Jan Jansz. Starter, Jacob Westerbaen",G.A. Bredero
Lambert de Visscher,Lambert de Visscher,Jacobus Revius
Cornelis Sweerts,Cornelis Sweerts,Jan Zoet
Cornelis Maertsz.,Cornelis Maertsz.,Christianus Vermeulen
Jan van der Veen,Jan van der Veen,Pieter van Gelre
W.J. van Zeggelen,W.J. van Zeggelen,Jan Pieter Heije
M. van de Speybroek,M. van de Speybroek,Pieter Datheen
Femme Gerbrantsz Drieduym,Femme Gerbrantsz Drieduym,Jacobus de Ruyter
C.P. van Wesbusch,C.P. van Wesbusch,J.F. Willems
Johannes Stichter,Johannes Stichter,M. van de Speybroek
"Ate Doornbosch, Marie van Dijk, Henk Kuijer, Hermine Sterringa","Ate Doornbosch, Marie van Dijk, Henk Kuijer, Hermine Sterringa",Florimond van Duyse
Jan Jansz. Starter,Jan Jansz. Starter,G.A. Bredero
Pieter Nootmans,Pieter Nootmans,Jan van Hoogstraten
"Antoine Mahaut, Kornelis Elzevier","Antoine Mahaut, Kornelis Elzevier",Claes Stapel
anoniem,anoniem,C. Rhijnenburgh
Johan van Born,Johan van Born,Jacob Rosant
Johan Deknatel,Johan Deknatel,Hieronymus van Alphen
Jakobus Rosseau,Jakobus Rosseau,Jan Pieter Heije
Aagje Deken en Klaas van der Horst,Aagje Deken en Klaas van der Horst,Jan Pieter Heije
Christianus Vermeulen,Christianus Vermeulen,Karel van Mander
C. Rhijnenburgh,C. Rhijnenburgh,Dirk Rafaelsz. Camphuysen
Dirk Rafaelsz. Camphuysen,Dirk Rafaelsz. Camphuysen,Joannes Stalpaert van der Wiele
Nicolaes Janssens,Nicolaes Janssens,Joannes Six van Chandelier
anoniem,anoniem,"Jacob Janszoon Colevelt, A. Pietersz. Craen, Matthijs van Velden, Jan Robbertsz"
Pieter Christiaenszoon Bor,Pieter Christiaenszoon Bor,Florimond van Duyse
Willem Sluiter,Willem Sluiter,Claes Stapel
Jan Thieullier,Jan Thieullier,Leonardus Gouwerak
Isaak A. van Vaerlen en Jan Jansz. van Asten,Isaak A. van Vaerlen en Jan Jansz. van Asten,Jan van Hoogstraten
Guillaume Abrahams Ooijevaer,Guillaume Abrahams Ooijevaer,Joannes Kannewet
Aagje Deken en Klaas van der Horst,Aagje Deken en Klaas van der Horst,Hieronymus van Alphen
Joannes Mys,Joannes Mys,Jacobus Revius
Matthijs de Castelein,Matthijs de Castelein,Lucas van Mechelen
Daniel Bellemans,Daniel Bellemans,Jacob Cats
J.F. Willems,J.F. Willems,Karel van Mander
Dirck Pietersz Pers,Dirck Pietersz Pers,Albertus Buitendyck
Franciscus Ridderus,Franciscus Ridderus,Willem de Swaen
Jacob Brouwer,Jacob Brouwer,Pieter de Vos
Cornelis Stribeé,Cornelis Stribeé,Joannes Stalpaert van der Wiele
Jacob Rosant,Jacob Rosant,"Antoine Mahaut, Kornelis Elzevier"
Jan Jansz. Deutel,Jan Jansz. Deutel,Karel van Mander
Guillaume Abrahams Ooijevaer,Guillaume Abrahams Ooijevaer,Jacob Rosant
Jan van Hoogstraten,Jan van Hoogstraten,Hendrik Uilenbroek
"A.J. Dekker, Marie van Dijk","A.J. Dekker, Marie van Dijk",Florimond van Duyse
Godfried Bussé,Godfried Bussé,Joan Ysermans
J.F. Willems,J.F. Willems,Jan Pieter Heije
J.F. Willems,J.F. Willems,Leonardus Gouwerak
Pieter Dubbels,Pieter Dubbels,Joannes Vollenhove
Christianus Vermeulen,Christianus Vermeulen,Jan van Hoogstraten
Arnold Bon,Arnold Bon,Pieter Elsevier
Johanna de Gavre,Johanna de Gavre,Willem de Swaen
Joris Wybo,Joris Wybo,Cornelis de Leeuw
Joannes de Lixbona,Joannes de Lixbona,Johannes Stichter
"A.J. Dekker, Marie van Dijk","A.J. Dekker, Marie van Dijk",Carolus Tuinman
Joannes Stalpaert van der Wiele,Joannes Stalpaert van der Wiele,Matthijs de Castelein
J.W. Lustig,J.W. Lustig,Carolus Tuinman
Hendrik Riemsnijder,Hendrik Riemsnijder,C. Rhijnenburgh
Andries Pels,Andries Pels,Jan Pieter Heije
"B. Targier, Anthony Jansen","B. Targier, Anthony Jansen",Isaak A. van Vaerlen en Jan Jansz. van Asten
Pieter Datheen,Pieter Datheen,D.V. Coornhert
Marijn de Brauwer,Marijn de Brauwer,Jacobus Viverius
Betje Wolff en Aagje Deken,Betje Wolff en Aagje Deken,Carolus Tuinman
Aernout van Overbeke,Aernout van Overbeke,Joos Verschuere Reynvaan
J.H.C. Venman,J.H.C. Venman,Jan Pieter Heije
Zacharias Heyns,Zacharias Heyns,Joan Ysermans
Hendrik Jacobz. Soetenboom,Hendrik Jacobz. Soetenboom,Jacobus de Ruyter
C. J. Wits,C. J. Wits,Leenaert Clock
Jb. Kwast,Jb. Kwast,David Montanus
Nicolaes Janssens,Nicolaes Janssens,Franciscus Ridderus
Johan Beets,Johan Beets,C.P. van Wesbusch
Jan Jansz. Deutel,Jan Jansz. Deutel,Karel van Mander
anoniem,anoniem,Cornelis Maertsz.
Jan Luyken,Jan Luyken,Franciscus de Laat
Carolus Tuinman,Carolus Tuinman,Johannes d' Outrein
anoniem,anoniem,Dirck Pietersz Pers
"Antoine Mahaut, Kornelis Elzevier","Antoine Mahaut, Kornelis Elzevier",Hendrik Riemsnijder
Cornelis Sweerts,Cornelis Sweerts,Rutger Schutte
"Petrus Suetmans, Eustachius de Meyer","Petrus Suetmans, Eustachius de Meyer",Joan Ysermans
Gerrit Manheer,Gerrit Manheer,Carolus Tuinman
Carolus Tuinman,Carolus Tuinman,Johan Deknatel
Justus de Harduwijn,Justus de Harduwijn,Christianus Vermeulen
Jacob Claesz,Jacob Claesz,J. Sent
Christianus Vermeulen,Christianus Vermeulen,Isaak A. van Vaerlen en Jan Jansz. van Asten
Christianus Vermeulen,Christianus Vermeulen,Franciscus Ridderus
Jakobus Rosseau,Jakobus Rosseau,"Antoine Mahaut, Kornelis Elzevier"
E.J. Boneschanscher,E.J. Boneschanscher,Pieter Cauwe
"Antoine Mahaut, Kornelis Elzevier","Antoine Mahaut, Kornelis Elzevier",Jacobus Revius
C.P. van Wesbusch,C.P. van Wesbusch,Florimond van Duyse
Femme Gerbrantsz Drieduym,Femme Gerbrantsz Drieduym,Pieter de Vos
"B. Targier, Anthony Jansen","B. Targier, Anthony Jansen",G.A. Bredero
F. Verloo,F. Verloo,W.J. van Zeggelen
Jacobus Revius,Jacobus Revius,Jacob Westerbaen
Hendrik Jacobz. Soetenboom,Hendrik Jacobz. Soetenboom,Aernout van Overbeke
Aernout van Overbeke,Aernout van Overbeke,Willem de Swaen
Carolus Tuinman,Carolus Tuinman,Hendrik Uilenbroek
Jan van Hoogstraten,Jan van Hoogstraten,Pieter Lenaerts van der Goes
Matthijs de Castelein,Matthijs de Castelein,Albertus Buitendyck
Cornelis Stribeé,Cornelis Stribeé,Cornelis Maertsz.
"A.J. Dekker, Marie van Dijk","A.J. Dekker, Marie van Dijk","A.J. Dekker, Ernst Heins, Marie van Dijk, Henk Kuijer"
J.F. Willems,J.F. Willems,Florimond van Duyse
Willem de Swaen,Willem de Swaen,Cornelis Maertsz.
"Jan Steven van Esveldt Holtrop, Willem Holtrop","Jan Steven van Esveldt Holtrop, Willem Holtrop",Hendrik Uilenbroek
Carolus Tuinman,Carolus Tuinman,Jan Pieter Heije
Florimond van Duyse,Florimond van Duyse,"Petrus Suetmans, Eustachius de Meyer"
Karel van Mander,Karel van Mander,David Joris
Jan van der Veen,Jan van der Veen,Jodocus van Lodenstein
Marijn de Brauwer,Marijn de Brauwer,Joannes Stalpaert van der Wiele
Florimond van Duyse,Florimond van Duyse,Jan Mommaert
Daniel Bellemans,Daniel Bellemans,Franciscus Ridderus
Johannes Stichter,Johannes Stichter,Alle Dercks
